Country Code,Country Name,Region,Domain,Slope,Intercept,R2,SE_Pred_2030,Backtest_RMSE
CYP,Cyprus,Europe,Digital Infrastructure,0.036545,-72.989736,0.9742,0.025048,0.0978
CYP,Cyprus,Europe,Economic Fragility,-0.000209,1.132172,0.0018,0.020948,0.0635
CYP,Cyprus,Europe,Food Security,0.003988,-7.30737,0.1104,0.04766,0.0731
CYP,Cyprus,Europe,Healthcare,0.004932,-9.666097,0.7004,0.013583,0.0653
CYP,Cyprus,Europe,Political Stability,0.000182,0.358792,0.003,0.014046,0.066
CZE,Czechia,Europe,Climate & Energy,0.002194,-3.735845,0.2265,0.017072,0.092
CZE,Czechia,Europe,Digital Infrastructure,0.034221,-68.311046,0.932,0.03894,0.0978
CZE,Czechia,Europe,Economic Fragility,0.000377,-0.045309,0.0116,0.014676,0.0635
CZE,Czechia,Europe,Food Security,-0.000285,1.472747,0.0145,0.009878,0.0731
CZE,Czechia,Europe,Healthcare,0.001778,-3.146796,0.4567,0.008165,0.0653
CZE,Czechia,Europe,Political Stability,0.001908,-3.018186,0.1365,0.020217,0.066
DEU,Germany,Europe,Climate & Energy,0.002941,-5.249071,0.3679,0.016232,0.092
DEU,Germany,Europe,Digital Infrastructure,0.031359,-62.403073,0.8746,0.049997,0.0978
DEU,Germany,Europe,Economic Fragility,-5.6e-05,0.839835,0.0004,0.011598,0.0635
DEU,Germany,Europe,Food Security,0.000108,0.641791,0.0014,0.012104,0.0731
DEU,Germany,Europe,Healthcare,0.003154,-5.806918,0.8229,0.006162,0.0653
DEU,Germany,Europe,Political Stability,-0.00494,10.732459,0.5025,0.0207,0.066
DNK,Denmark,Europe,Climate & Energy,0.002734,-4.817055,0.5987,0.009425,0.092
DNK,Denmark,Europe,Digital Infrastructure,0.026806,-53.142475,0.7542,0.064449,0.0978
DNK,Denmark,Europe,Economic Fragility,-0.000117,0.96015,0.0024,0.010099,0.0635
DNK,Denmark,Europe,Food Security,-0.000262,1.289257,0.0024,0.022451,0.0731
DNK,Denmark,Europe,Healthcare,0.000827,-1.28005,0.0289,0.020184,0.0653
DNK,Denmark,Europe,Political Stability,-0.005146,11.198107,0.6886,0.014573,0.066
DOM,Dominican Republic,Central America & Caribbean,Climate & Energy,0.002946,-5.304499,0.4752,0.013036,0.092
DOM,Dominican Republic,Central America & Caribbean,Digital Infrastructure,0.025158,-50.336565,0.9704,0.018506,0.0978
