Global_Rank_2030,Country Code,Country Name,Region,Composite_Base,Composite_Opt,Composite_Pess,Data_Type
177,VUT,Vanuatu,Other,0.527,0.5681,0.4858,Estimated
178,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Other,0.5214,0.5491,0.4937,Estimated
179,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Other,0.5201,0.5476,0.4926,Estimated
180,EAR,Early-demographic dividend,Other,0.518,0.531,0.5051,Estimated
181,VEN,"Venezuela, RB",Other,0.5158,0.5708,0.4608,Estimated
182,GHA,Ghana,Africa,0.5157,0.55,0.4815,Actual
183,LAO,Lao PDR,Other,0.5122,0.5556,0.4729,Estimated
184,NIC,Nicaragua,Central America & Caribbean,0.5111,0.5454,0.4767,Actual
185,AGO,Angola,Other,0.5088,0.5669,0.449,Estimated
186,GTM,Guatemala,Central America & Caribbean,0.5076,0.5336,0.4816,Actual
187,MMR,Myanmar,Other,0.5027,0.5543,0.4511,Estimated
188,KIR,Kiribati,Other,0.5027,0.5719,0.4334,Estimated
189,IND,India,South Asia,0.5017,0.5283,0.4751,Actual
190,LMC,Lower middle income,Other,0.5002,0.5219,0.4786,Estimated
191,TJK,Tajikistan,Central Asia,0.4978,0.5556,0.4401,Actual
192,TSA,South Asia (IDA & IBRD),Other,0.4969,0.5318,0.4619,Estimated
193,SAS,South Asia,Other,0.4969,0.5318,0.4619,Estimated
194,SLB,Solomon Islands,Other,0.494,0.5426,0.4454,Estimated
195,HND,Honduras,Other,0.4936,0.5266,0.4606,Estimated
196,PSE,West Bank and Gaza,Other,0.4874,0.5219,0.453,Estimated
197,GNQ,Equatorial Guinea,Other,0.4858,0.5254,0.4382,Estimated
198,SEN,Senegal,Other,0.4857,0.5164,0.4551,Estimated
199,SWZ,Eswatini,Africa,0.4851,0.5339,0.4364,Actual
200,LBN,Lebanon,Other,0.4817,0.5361,0.4273,Estimated
201,IRQ,Iraq,Other,0.4817,0.5468,0.4167,Estimated
202,TCA,Turks and Caicos Islands,Other,0.4796,0.5841,0.3752,Estimated
203,BGD,Bangladesh,South Asia,0.4796,0.5126,0.4466,Actual
204,IRN,"Iran, Islamic Rep.",Other,0.4756,0.5205,0.4307,Estimated
205,PSS,Pacific island small states,Other,0.4705,0.4979,0.4432,Estimated
206,FCS,Fragile and conflict affected situations,Other,0.4656,0.4943,0.4369,Estimated
207,IDB,IDA blend,Other,0.459,0.4844,0.4336,Estimated
208,ZMB,Zambia,Africa,0.4528,0.4958,0.4098,Actual
209,TLS,Timor-Leste,Other,0.4516,0.5316,0.3716,Estimated
210,CIV,Cote d'Ivoire,Other,0.4503,0.4896,0.411,Estimated
211,SLE,Sierra Leone,Other,0.4498,0.5113,0.3883,Estimated
212,IDA,IDA total,Other,0.4416,0.4666,0.4165,Estimated
213,DJI,Djibouti,Other,0.4414,0.4992,0.3836,Estimated
214,GIN,Guinea,Other,0.4394,0.4889,0.39,Estimated
215,LDC,Least developed countries: UN classification,Other,0.4392,0.4677,0.4107,Estimated
216,IDX,IDA only,Other,0.4382,0.4681,0.4083,Estimated
217,TZA,Tanzania,Other,0.4366,0.4746,0.3986,Estimated
218,PRE,Pre-demographic dividend,Other,0.4361,0.4607,0.4115,Estimated
219,AFW,Africa Western and Central,Other,0.4352,0.4651,0.4053,Estimated
220,RWA,Rwanda,Africa,0.4332,0.4748,0.3917,Actual
221,STP,Sao Tome and Principe,Other,0.4331,0.4725,0.3938,Estimated
222,MWI,Malawi,Other,0.433,0.4684,0.3976,Estimated
223,SSF,Sub-Saharan Africa,Other,0.4311,0.4565,0.4056,Estimated
224,TSS,Sub-Saharan Africa (IDA & IBRD countries),Other,0.4309,0.4563,0.4055,Estimated
225,COG,"Congo, Rep.",Other,0.4308,0.4783,0.3834,Estimated
226,SSA,Sub-Saharan Africa (excluding high income),Other,0.4301,0.4532,0.4069,Estimated
227,TGO,Togo,Africa,0.4299,0.4706,0.3891,Actual
228,LBY,Libya,Other,0.4293,0.499,0.3596,Estimated
229,AFE,Africa Eastern and Southern,Other,0.4265,0.4495,0.4035,Estimated
230,HPC,Heavily indebted poor countries (HIPC),Other,0.4214,0.4466,0.3962,Estimated
231,CMR,Cameroon,Other,0.4122,0.4479,0.3765,Estimated
232,GNB,Guinea-Bissau,Other,0.4032,0.4792,0.3272,Estimated
233,HTI,Haiti,Other,0.403,0.4434,0.3626,Estimated
234,UGA,Uganda,Other,0.4022,0.4388,0.3657,Estimated
235,KEN,Kenya,Other,0.3995,0.4369,0.3621,Estimated
236,LBR,Liberia,Other,0.3993,0.4564,0.3422,Estimated
237,LIC,Low income,Other,0.3977,0.4307,0.3647,Estimated
238,BDI,Burundi,Other,0.396,0.4423,0.3533,Estimated
239,AFG,Afghanistan,Other,0.3934,0.4579,0.3336,Estimated
240,GMB,"Gambia, The",Other,0.3918,0.4367,0.3514,Estimated
241,SYR,Syrian Arab Republic,Other,0.3917,0.4226,0.3607,Estimated
242,NGA,Nigeria,Other,0.3913,0.4284,0.3543,Estimated
243,MRT,Mauritania,Other,0.3894,0.4382,0.3406,Estimated
244,MOZ,Mozambique,Africa,0.3892,0.4437,0.3347,Actual
245,PAK,Pakistan,South Asia,0.3809,0.412,0.3535,Actual
246,SDN,Sudan,Other,0.3785,0.4557,0.3013,Estimated
247,COM,Comoros,Other,0.376,0.4263,0.3258,Estimated
248,BFA,Burkina Faso,Africa,0.376,0.415,0.337,Actual
249,COD,"Congo, Dem. Rep.",Other,0.3691,0.4169,0.3169,Estimated
250,MLI,Mali,Other,0.3563,0.3911,0.3217,Estimated
