Country Code,Country Name,Region,Domain,Year,Actual,Predicted,Optimistic,Pessimistic,Error,Within_Band
BOL,Bolivia,South America,Healthcare,2021,0.2128,0.1724,0.1945,0.1502,-0.0404,0
BOL,Bolivia,South America,Healthcare,2022,0.2181,0.1731,0.1968,0.1494,-0.045,0
BOL,Bolivia,South America,Healthcare,2023,0.215,0.1738,0.1991,0.1485,-0.0412,0
BOL,Bolivia,South America,Political Stability,2021,0.5585,0.5356,0.5702,0.501,-0.0229,1
BOL,Bolivia,South America,Political Stability,2022,0.5773,0.5377,0.5748,0.5007,-0.0396,0
BOL,Bolivia,South America,Political Stability,2023,0.551,0.5399,0.5794,0.5004,-0.0112,1
BRA,Brazil,South America,Climate & Energy,2021,0.694,0.7003,0.7034,0.6972,0.0063,0
BRA,Brazil,South America,Climate & Energy,2022,0.7448,0.7018,0.7051,0.6985,-0.043,0
BRA,Brazil,South America,Climate & Energy,2023,0.7436,0.7033,0.7068,0.6998,-0.0403,0
BRA,Brazil,South America,Digital Infrastructure,2021,0.6112,0.6,0.606,0.5941,-0.0111,0
BRA,Brazil,South America,Digital Infrastructure,2022,0.6217,0.6283,0.6347,0.622,0.0066,0
BRA,Brazil,South America,Digital Infrastructure,2023,0.6546,0.6566,0.6634,0.6498,0.0021,1
BRA,Brazil,South America,Economic Fragility,2021,0.6813,0.7357,0.7478,0.7236,0.0544,0
BRA,Brazil,South America,Economic Fragility,2022,0.6922,0.7382,0.7512,0.7253,0.0461,0
BRA,Brazil,South America,Economic Fragility,2023,0.7036,0.7408,0.7546,0.727,0.0373,0
BRA,Brazil,South America,Food Security,2021,0.8949,0.9286,0.9495,0.9078,0.0337,0
BRA,Brazil,South America,Food Security,2022,0.9065,0.9329,0.9552,0.9106,0.0264,0
BRA,Brazil,South America,Food Security,2023,0.9055,0.9371,0.9609,0.9133,0.0316,0
BRA,Brazil,South America,Healthcare,2021,0.3039,0.2991,0.3179,0.2802,-0.0048,1
BRA,Brazil,South America,Healthcare,2022,0.4637,0.2988,0.319,0.2786,-0.1649,0
BRA,Brazil,South America,Healthcare,2023,0.3713,0.2986,0.3201,0.277,-0.0727,0
BRA,Brazil,South America,Political Stability,2021,0.5279,0.5053,0.5346,0.476,-0.0226,1
BRA,Brazil,South America,Political Stability,2022,0.5333,0.4985,0.5299,0.4671,-0.0348,0
BRA,Brazil,South America,Political Stability,2023,0.5304,0.4917,0.5252,0.4582,-0.0386,0
BWA,Botswana,Africa,Climate & Energy,2021,0.5461,0.5493,0.5522,0.5464,0.0032,0
BWA,Botswana,Africa,Climate & Energy,2022,0.616,0.5554,0.5585,0.5523,-0.0607,0
BWA,Botswana,Africa,Climate & Energy,2023,0.5013,0.5614,0.5647,0.5581,0.0601,0
BWA,Botswana,Africa,Digital Infrastructure,2021,0.4562,0.3163,0.3528,0.2798,-0.1398,0
BWA,Botswana,Africa,Digital Infrastructure,2022,0.4539,0.3333,0.3723,0.2942,-0.1206,0
BWA,Botswana,Africa,Digital Infrastructure,2023,0.4474,0.3502,0.3919,0.3086,-0.0972,0
BWA,Botswana,Africa,Economic Fragility,2021,0.6282,0.7227,0.7559,0.6895,0.0945,0
BWA,Botswana,Africa,Economic Fragility,2022,0.6662,0.7247,0.7602,0.6892,0.0585,0
BWA,Botswana,Africa,Economic Fragility,2023,0.7025,0.7267,0.7647,0.6888,0.0243,1
BWA,Botswana,Africa,Food Security,2021,0.5856,0.6425,0.6765,0.6085,0.0569,0
BWA,Botswana,Africa,Food Security,2022,0.5556,0.6502,0.6866,0.6138,0.0946,0
BWA,Botswana,Africa,Food Security,2023,0.4877,0.6579,0.6968,0.6191,0.1703,0
BWA,Botswana,Africa,Healthcare,2021,0.1726,0.2052,0.2251,0.1853,0.0325,0
BWA,Botswana,Africa,Healthcare,2022,0.1602,0.2077,0.229,0.1864,0.0475,0
