Country Code,Country Name,Region,Domain,Base_2030,Optimistic_2030,Pessimistic_2030,Composite_Base,Composite_Opt,Composite_Pess,Data_Type
MEX,Mexico,North America,Economic Fragility,0.7198142410275618,0.7438322073731762,0.6957962746819473,0.6133997396567933,0.6335343363856205,0.593265142927966,Actual
MEX,Mexico,North America,Food Security,0.889088871601608,0.8992991483172129,0.8788785948860031,0.6133997396567933,0.6335343363856205,0.593265142927966,Actual
MEX,Mexico,North America,Healthcare,0.22796256973350104,0.2355115444725922,0.22041359499440988,0.6133997396567933,0.6335343363856205,0.593265142927966,Actual
MEX,Mexico,North America,Political Stability,0.38740429926774667,0.42086739664503237,0.35394120189046097,0.6133997396567933,0.6335343363856205,0.593265142927966,Actual
MKD,North Macedonia,Europe,Climate & Energy,0.6834417625966047,0.7053494755909898,0.6615340496022196,0.7248517028528975,0.7484143555478121,0.6977754798889362,Actual
MKD,North Macedonia,Europe,Digital Infrastructure,0.9864831399477509,1.0,0.9518848582812218,0.7248517028528975,0.7484143555478121,0.6977754798889362,Actual
MKD,North Macedonia,Europe,Economic Fragility,0.7141750895085198,0.7350230859237742,0.6933270930932655,0.7248517028528975,0.7484143555478121,0.6977754798889362,Actual
MKD,North Macedonia,Europe,Food Security,0.8877961207351177,0.9160248753097662,0.8595673661604692,0.7248517028528975,0.7484143555478121,0.6977754798889362,Actual
MKD,North Macedonia,Europe,Healthcare,0.34791544348918446,0.3647114557374467,0.33111943124092225,0.7248517028528975,0.7484143555478121,0.6977754798889362,Actual
MKD,North Macedonia,Europe,Political Stability,0.7292986608402074,0.7693772407248961,0.6892200809555188,0.7248517028528975,0.7484143555478121,0.6977754798889362,Actual
MLT,Malta,Europe,Climate & Energy,0.6767918181327932,0.7056097903232583,0.6479738459423281,0.7214359311958987,0.7456461930761283,0.6972256693156688,Actual
MLT,Malta,Europe,Digital Infrastructure,1.0,1.0,1.0,0.7214359311958987,0.7456461930761283,0.6972256693156688,Actual
MLT,Malta,Europe,Economic Fragility,0.679090409326476,0.7150482962516937,0.6431325224012583,0.7214359311958987,0.7456461930761283,0.6972256693156688,Actual
MLT,Malta,Europe,Food Security,0.8056048944162076,0.8350712047099901,0.7761385841224252,0.7214359311958987,0.7456461930761283,0.6972256693156688,Actual
MLT,Malta,Europe,Healthcare,0.39958186267165147,0.43126375191839916,0.36789997342490377,0.7214359311958987,0.7456461930761283,0.6972256693156688,Actual
MLT,Malta,Europe,Political Stability,0.7675466026282631,0.7868841152534288,0.7482090900030974,0.7214359311958987,0.7456461930761283,0.6972256693156688,Actual
MNG,Mongolia,East Asia,Climate & Energy,0.6372310630873219,0.6605069842563208,0.613955141918323,0.6869174658995666,0.7235156866079637,0.6467199269854985,Actual
MNG,Mongolia,East Asia,Digital Infrastructure,0.6224138378593054,0.6856729876915455,0.5591546880270652,0.6869174658995666,0.7235156866079637,0.6467199269854985,Actual
MNG,Mongolia,East Asia,Economic Fragility,0.6847145936928878,0.7244766606413142,0.6449525267444614,0.6869174658995666,0.7235156866079637,0.6467199269854985,Actual
MNG,Mongolia,East Asia,Food Security,0.973397989898956,1.0,0.9252000705638876,0.6869174658995666,0.7235156866079637,0.6467199269854985,Actual
MNG,Mongolia,East Asia,Healthcare,0.47464875688186403,0.512657222182868,0.4366402915808601,0.6869174658995666,0.7235156866079637,0.6467199269854985,Actual
MNG,Mongolia,East Asia,Political Stability,0.7290985539770638,0.7577802648757339,0.7004168430783937,0.6869174658995666,0.7235156866079637,0.6467199269854985,Actual
MOZ,Mozambique,Africa,Climate & Energy,0.3588296288002608,0.4081025143334416,0.30955674326708005,0.389217823970319,0.4437454303412296,0.3346902175994084,Actual
MOZ,Mozambique,Africa,Digital Infrastructure,0.1394796809999832,0.1620092849636455,0.11695007703632089,0.389217823970319,0.4437454303412296,0.3346902175994084,Actual
MOZ,Mozambique,Africa,Economic Fragility,0.8459645548012347,0.9128264556968602,0.7791026539056092,0.389217823970319,0.4437454303412296,0.3346902175994084,Actual
MOZ,Mozambique,Africa,Food Security,0.4562319045205365,0.5227411737577948,0.3897226352832782,0.389217823970319,0.4437454303412296,0.3346902175994084,Actual
MOZ,Mozambique,Africa,Healthcare,0.2739202156450826,0.3200119877403595,0.22782844354980575,0.389217823970319,0.4437454303412296,0.3346902175994084,Actual
MOZ,Mozambique,Africa,Political Stability,0.26088095905481623,0.3367811655552761,0.18498075255435636,0.389217823970319,0.4437454303412296,0.3346902175994084,Actual
MUS,Mauritius,Africa,Climate & Energy,0.681687645887334,0.7114083660661581,0.6519669257085099,0.6453037933012981,0.6738989589769746,0.6167086276256214,Actual
MUS,Mauritius,Africa,Digital Infrastructure,0.8576322051087715,0.895002586361857,0.8202618238556859,0.6453037933012981,0.6738989589769746,0.6167086276256214,Actual
MUS,Mauritius,Africa,Economic Fragility,0.7239583836135592,0.7552223016058802,0.6926944656212383,0.6453037933012981,0.6738989589769746,0.6167086276256214,Actual
MUS,Mauritius,Africa,Food Security,0.4959316383582273,0.5329078915761112,0.45895538514034334,0.6453037933012981,0.6738989589769746,0.6167086276256214,Actual
